public_id,internal_id,regime,status_bucket,doctor_health_estimate,doctor_recommendation,total_return_pct,apr_estimate,max_drawdown_pct,trade_count,fee_total,fee_pct_of_start,source_file
2FC4D4FE5F,PMV3_BEAR_TREND_fee_churn_conservative_10A71C06A6,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
AAE4285CDB,PMV3_BEAR_TREND_fee_churn_balanced_3C36D4740B,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
302CE89D8E,PMV3_BEAR_TREND_fee_churn_aggressive_guarded_5E1F90ACFB,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
D9109EE2FA,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_conservative_22022486D7,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
6E0AC4E108,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_balanced_BCE311C3EB,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
B8E204F586,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_aggressive_guarded_DDB0744730,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
E06118519E,PMV3_BEAR_TREND_fee_churn_conservative_7F0E2298BD,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
7FAD1A008C,PMV3_BEAR_TREND_fee_churn_balanced_8AD83B23DA,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
311FA9625B,PMV3_BEAR_TREND_fee_churn_aggressive_guarded_444D7EB22E,BEAR_TREND,CHALLENGER,,,-28.025,-21.625445,-30.358111,,,,challenger_champions.json
1B0676BE60,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_conservative_5735AD2278,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
0008A477C9,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_balanced_AD06D20C64,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
99630A841A,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_aggressive_guarded_F1BFA0C009,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-12.193616,-20.407504,,,,challenger_champions.json
9F27157870,PMV3_BEAR_TREND_fee_churn_conservative_73ECCE0789,BEAR_TREND,CHALLENGER,,,-28.025,-6.675993,-9.705176,,787.180026,,challenger_champions.json
5A0B101DB8,PMV3_BEAR_TREND_fee_churn_balanced_15C4CB7E87,BEAR_TREND,CHALLENGER,,,-28.025,-6.675993,-9.705176,,787.180026,,challenger_champions.json
A243C3924D,PMV3_BEAR_TREND_fee_churn_aggressive_guarded_7CB91552D1,BEAR_TREND,CHALLENGER,,,-28.025,-6.675993,-9.705176,,787.180026,,challenger_champions.json
2A09616A44,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_conservative_92520159A1,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-4.189345,-7.03097,,572.172349,,challenger_champions.json
